left.context	keyword	right.context	annotator	annotator2
terraces, themed garden rooms, winding paths, and spectacular vistas. '' A	really good	garden doesn't have huge splashes of flowers or one big view, but	1	1
growth in exports and a 15. 1 percent rise in imports, were ''	really bad	news. '' The United States, he said, is in danger of moving	1	1
read. I'm sure you've seen this yourself. Haven't you known	really good	, hardworking people who end up with very little? Haven't you met	1	1
in reference to all other trades and professions? It is a fact, that	really good	domestic service must continue to increase in value, just in proportion as this	1	1
be human just like everybody else. Now,' I says, I looked	real good	and hard at myself this mornin' in the mirror, an' if	0	0
// Lawyers think the same way. They'll say, '' That's a	really good	brief. '' Never mind that the brief was equally effective for the client	1	1
can, and the ablest underwriter is the man who tells the closest. A	really good	underwriter should know the hazards of all the ordinary risks in the world,	1	1
put so much stock in almost worthless unless you stick around.  #  The	really bad	news, though, may be that your company has incentives to see that you	1	1
? Who said anything about grain alcohol? '' '' You can't have a	really good	party without it. Not the kind of party I'm talking about.	1	
But I picked it because I like John Sheely's food. It's got	really good	, robust flavors. ''  #  Matt Maroni was too nervous to eat on	1	
everyone should write their own reviews, '' Sirius continued. '' I'm also	really good	at interviewing myself. ''  #  And Mu: '' I interviewed myself in	0	0
's over now, and tomorrow we shall go out in the country for a	real good	time. '' N THE morrow we arrived at Combermere Abbey, a tremendous	1	1
let you have a little taste of lasses after it, if you take it	real good	, '' ventured Caleb. '' No, he won't have any lasses	0	0
'' The disadvantage, of course, is that when you're having a	really bad	day, you just can't stand that person. It may have nothing to	1	1
his remarks. '' Who would'a believe it? Poh people, dey is	really bad	off, '' and she hurried to Mrs. Wentworth's side. Mrs. Wentworth had	0	0
could not appreciate Good, if Evil were not; and as he can be	really good	only when he has become acquainted with the contrary, so the Light does	0	0
seventeen, went to Philadelphia, where a few years later he established the first	really good	newspaper in America - the Pennsylvania Gazette. When our Revolution began, a	1	1
no other answer than that look of irony again. Maxim had the trick of	really good	fortune-tellers and palmists, of putting things so generally and so dramatically that what	1	1
LISABETTE I mean, what if it were really good? Really. Really,	really good	. Could we? You're good. You're both good. We	0	0
am not falsely modest on any level, and I'm sure we do a	really good	job, but he gave us the fastest car in the race. ''	1	1
announced as he took off his headset. '' I said no. '' ''	Real good	, sir, '' Smith observed. At least Air Force officers weren't	0	
the world for him. I would give him to you. He's a	really good	dog, pure bred and all.... The truth is he	1	
to have been a KGB agent, worked for the KGB because they were a	really good	spy operation, '' said Cpl. Michael Lavato, who served with Lonetree	1	
the set: '' It was hysterically funny. Johnny said that it was a	really good	rumor, and what we should really be saying is that he and I	1	
Here's my story: Castleman needed only experience tinder fire to make him a	really good	Pitcher. I let him start games and, When the opposition began to	1	
My dear, if Lossing has the right stuff in him and he is a	real good	fellow, I shan't make you go into a decline by objecting;	1	
. She's in the hospital. She's got cancer. That's	real bad	luck, son, the old driver said and took a sip from his mason	1	
drizzle freezing as it hits the surfaces -- and it will continue to be	real bad	in the morning, '' said Bob Corbett, a meteorologist with the National Weather	0	
clings to you even here. Not that it's going to do me any	real good	in the long run. Sure, I've got a face and I	NA	
listen, for here is a man who knows. // With nothing but a	real good	fast ball, one that breaks and jumps and moves all over the place	1	
) '' Silencio en la noche '' You still feel good. You still feel	real good	. My old lady. Everybody asks me about my old lady who do	0	
rest, I missed her lots, and I said so. '' You were	real good	to her, Mother Peavy,' I said. I often think how	0	
. There has been a respite from mosquitoes, and I am having a ''	real good	time. '' But I had a great fright yesterday (part of the	1	
around campus. If it gets out there, it's going to be	real bad	. I can't do it. ''  #  One might call this discretion ladylike	0	
fried bread. She had decided to save the sheep fat until things got	really bad	. IV Lila D., a thin, drawn housewife of thirty-three. buys her family	0	
some thought the experiment goofy, some thought it just goo, some thought it	really good	. None could deny it was full to the lips with life.  #	0	
Yes, sir. '' '' Have you already written something? '' '' Nothing	really good	. No, sir. '' '' You are first finishing your studies,	1	
good! Good for you! CATHERINE FERREBY Robert felt TIANNA BOSUN That's a	real good	start, but we were wonderin' if you'd got the neighbors together	1	
was open the door and grab.  #  '' Maybe, if it's a	real good	breakfast, I'll open the door, '' Harley said. '' I	1	
was haunted. He was probably very bad for her. Maybe she was	really bad	for him. Morgan was confused enough as it was without some kind of love	0	
had no good times before? '' '' No. This is about the first	really good	time I ever had in all my life. You see, you ca	1	
well logs from Casper. That was my department. '' Okay, this is	really good	, '' Ortega said, turning the unmarked car north onto Federal Boulevard.	0	
Melanctha, and it's that what I mean when I am saying about being	really good	. It ain't Miss Melanctha to be pious and not liking every kind	0	
take Sanch along? He doesn't like to be left, and felt	real bad	because I shut him up, for fear he'd follow and come walkin'	0	
I don't. I s'pose it's because when pa's good he's	real good	, and so kind it makes it hurt all the more when he's	0	
you much where you come from. You can sew real good, you talks	real good	and you cook, but ain't nobody teach you to button your lip	0	
retention of body fat, doctors say. '' More estrogen allows us to do	really good	things like keep the world going by having babies, '' says Gayle McCray	1	
mile a minute. &nbsp; DOROTHEA (CONT'D) I have good news --	really good	news. Arnold got a call from his friend Wally Scheur who heard about	1	
must have looked like before they shipped him home, and I start having	real bad	t'oughts. '' Bout scoring a li'l bit of rock, maybe, not much	1	
yes. They was two sax, two bass, one mortician and a	real bad	mental went down in an armed robbery at the Cut-Rate, corner of Marshall and	1	
immutability implies, that he grieves, or voluntarily suffers, whenever the condition or	real good	of his creatures, calls for grief or redemptive suffering; just as immutability	NA	
are to be the best of friends, '' she said. Peter got a	really good	look down into those eyes as they shook hands. The moment this matter	1	
the kind of thing they des? perately lack: concrete examples of what a	really good	job of teaching might look like. There is a big differ? ence	1	1
''  #  '' Good, isn't it? '' Dale asked.  #  ''	Real good	, '' Heather said, smiling at all of them. '' I like	0	0
'' So they all said it was a blessing, but I couldn't listen	real good	at the time. Part of it was I was thinking, If it	0	0
'd had a few harsh turn-downs in high school, when he'd had	really bad	skin, and before he'd discovered that pot and a ponytail could reliably attract	1	1
'' he said. '' It's very good. ''  #  '' Dinner's	really good	, '' I told her. But I was actually watching Davis, who	0	0
how soon? -- when Cambridge shall at last be able to boast of a	really good	hotel, '' in a central and very desirable situation, commanding a delightful	1	1
